,http://www.simmetrik.com/6dof-motion-simulator-platform,,https://github.com/Simmetrik/6DOF-Motion-Platform,,,,,
Assembly,Yaw-Sway / Double Traction Loss Bottom,Category,Spec,Length,Quantity,Link,Purpose,Notes
Yaw-Sway / Double Traction Loss Bottom,Aluminium profile type-i light,aluminium profile,40x80,1040,2,,Frame,
Yaw-Sway / Double Traction Loss Bottom,Aluminium profile type-i light,aluminium profile,40x80,1200,2,,Frame,
Yaw-Sway / Double Traction Loss Bottom,Aluminium profile type-i light,aluminium profile,40x80,1580,2,,Frame,
Yaw-Sway / Double Traction Loss Bottom,Aluminium profile type-i light,aluminium profile,40x40,370,2,,Frame,
Yaw-Sway / Double Traction Loss Bottom,GX150 linear table,linear tech,400mm stroke,604mm,2,,,"I have ordered 300mm stroke version with a dust cover, and they have added +100mm to the stroke (for a total of 400mm stroke), and useful stroke became 370mm with the dust cover on, using it on 360mm. total GX150 length in 604mm"
Yaw-Sway / Double Traction Loss Bottom,Shaft Holder,linear tech,SH25,,4,,,
Yaw-Sway / Double Traction Loss Bottom,Shaft Holder,linear tech,SH30,,8,,,
Yaw-Sway / Double Traction Loss Bottom,Flanged Shaft Support Block,linear tech,SFWR 30,,1,,,"SFWR 30, bosch R1056-30 or norelem 21585-30 or alike. The mount is designed with M10 threaded holes spaced 54mm apart in a square."
Yaw-Sway / Double Traction Loss Bottom,Linear Bearing,linear tech,SCE25UU,,4,,,optionally with polymer bearings
Yaw-Sway / Double Traction Loss Bottom,Linear Bearing,linear tech,SCE30UU,,12,,,optionally with polymer bearings
Yaw-Sway / Double Traction Loss Bottom,Linear Shaft,linear tech,25mm,500,2,,for allowing yaw DOF rod plate and bearing joint assembly to move along the sway DOF,
Yaw-Sway / Double Traction Loss Bottom,Linear Shaft,linear tech,30mm,130,1,,in between UCF206 and flanged shaft support block,
Yaw-Sway / Double Traction Loss Bottom,Linear Shaft,linear tech,30mm,380,4,,for surge movement allowing yaw DOF,
Yaw-Sway / Double Traction Loss Bottom,Linear Shaft,linear tech,30mm,1108,4,,for sway DOF,"1108mm for ~360mm travel placed on the inner profile, 1188 for ~400mm travel placed on the outer profile"
Yaw-Sway / Double Traction Loss Bottom,Thrust Bearing / Rotating assembly / Lazy Susan,bearing,105x85 500kgs capacity,,4,https://www.bs-rollen.de/en_DE/castors/thrust-bearings/1237/thrust-bearing?c=164,,BS Rollen D80.115 thrust bearing with 500kgs capacity. There is another make with the same form factor but it has only 250kgs weight capacity
Yaw-Sway / Double Traction Loss Bottom,Surge Shaft Mounts,CNC part,aluminium,,8,,,"Optionally replaceable by 8 x SHF30 and drlling holes to 8 of the SCE30UU's, or using 3d printed versions (STEP & STL files available) instead of CNC machined"
Yaw-Sway / Double Traction Loss Bottom,YawSway DOF joint locker mount,CNC part,steel,,1,,,In between flanged shaft support block and 2xSC25 linear bearings
Yaw-Sway / Double Traction Loss Bottom,GX150 Linear Table Mount,CNC part,aluminium,,2,,,
Yaw-Sway / Double Traction Loss Bottom,Linear table (GX150) or push-pull actuators,linear tech,400mm max stroke,,2,,,"Adjustable stroke, current design fits up to 400mm stroke movement. I have ordered 3*GX150's with 300mm stroke + dust cover, and got a 400mm stroke that moves 370mm with the dust cover on."
Yaw-Sway / Double Traction Loss Bottom,Caster wheels,aluprofile accessory,GD60,,16,,optional,or GD60S or GD60FS. The grub screws have to be bought separately anyway - the ones supplied are too long
Yaw-Sway / Double Traction Loss Bottom,Caster wheels mount,aluprofile accessory,80x80 M12,,16,,"optional, for caster wheels",
Yaw-Sway / Double Traction Loss Bottom,Angle bracket,connector hardware,40x80,,20,,in between 40x80 profiles,
Yaw-Sway / Double Traction Loss Bottom,Angle bracket,connector hardware,40x40,,16,,linear table(GX150) to ball bearing hinge profile mount,
Yaw-Sway / Double Traction Loss Bottom,Angle bracket,connector hardware,40x40,,16,,linear table(GX150) to frame,
Yaw-Sway / Double Traction Loss Bottom,Aluminium Mounting Plate 6mm thick 40x40 hole distances,connector hardware,"14 hole, ""T"" shape",,8,,below the bottom frame in each corner,
Yaw-Sway / Double Traction Loss Bottom,Bolt DIN912,bolt,M10,35,4,,for flanged shaft support block,
Yaw-Sway / Double Traction Loss Bottom,Bolt DIN912,bolt,M6,16,8,,for mounting the 140mm profile to the linear table's top,
Yaw-Sway / Double Traction Loss Bottom,Bolt DIN912,bolt,M6,16,16,,"for mounting 2 x GX150 linear tables to the bottom frame profile, GX150 side",
Yaw-Sway / Double Traction Loss Bottom,Bolt DIN912,bolt,M6,25,24,,for GX150 Linear Table Mounts,
Yaw-Sway / Double Traction Loss Bottom,Bolt DIN912,bolt,M8,16,16,,"for mounting 2 x GX150 linear tables to the bottom frame profile, frame side",
Yaw-Sway / Double Traction Loss Bottom,Bolt DIN912,bolt,M8,16,32,,for SurgeShaftMounts to SCE30UU,
Yaw-Sway / Double Traction Loss Bottom,Bolt DIN912,bolt,M8,16,32,,mounting profile with hinge to GX150 Linear Table Mounts,
Yaw-Sway / Double Traction Loss Bottom,Bolt DIN912,bolt,M8,16,16,,for LasySusan bearing plate mounts to profile,
Yaw-Sway / Double Traction Loss Bottom,Bolt DIN912,bolt,M8,16,64,,optional. for caster wheel mounts to the bottom profile,
Yaw-Sway / Double Traction Loss Bottom,Bolt DIN912,bolt,M8,20,32,,for SurgeShaftMounts shaft set screw,
Yaw-Sway / Double Traction Loss Bottom,Bolt DIN912,bolt,M8,20,80,,for frame angle brackets,
Yaw-Sway / Double Traction Loss Bottom,Bolt DIN912,bolt,M8,20,112,,for frame bottom's aluminium mounting plates,
Yaw-Sway / Double Traction Loss Bottom,Bolt DIN912,bolt,M8,20,64,,"optional, for caster wheels mounts",
Yaw-Sway / Double Traction Loss Bottom,Bolt DIN912,bolt,M8,25,16,,for SH30 shaft holders for 1120mm sway shafts,
Yaw-Sway / Double Traction Loss Bottom,Bolt DIN912,bolt,M8,25,12,,for YawSway DOF joint locker mount,
Yaw-Sway / Double Traction Loss Bottom,Bolt DIN6912,bolt,M6,16,32,,for LasySusan bearing plate mounts to lasy susan,
Yaw-Sway / Double Traction Loss Bottom,Bolt DIN913,bolt,M12,30,16,,optional. Grub screw for GD60 caster wheels,
Yaw-Sway / Double Traction Loss Bottom,Washer DIN125,washer,6.4,,16,,linear table (GX150) to profile GX side,
